"year","mean_coverage","max_coverage","min_coverage","scenario"
2012,0.498095265662327,0.529948797092135,0.452050794578506,"to-present"
2013,0.53870817064486,0.564898648027524,0.506587098700935,"to-present"
2014,0.579321075627393,0.599848498962912,0.561123402823363,"to-present"
2015,0.619933980609925,0.638522216780688,0.601255368632459,"to-present"
2016,0.660546885592458,0.683210086539816,0.638071676356388,"to-present"
2017,0.660546885592458,0.683210086539816,0.638071676356388,"to-present"
2018,0.660546885592458,0.683210086539816,0.638071676356388,"to-present"
2019,0.660546885592458,0.683210086539816,0.638071676356388,"to-present"
2020,0.660546885592458,0.683210086539816,0.638071676356388,"to-present"
2021,0.660546885592458,0.683210086539816,0.638071676356388,"BAU"
2022,0.660546885592458,0.683210086539816,0.638071676356388,"BAU"
2023,0.660546885592458,0.683210086539816,0.638071676356388,"BAU"
2024,0.660546885592458,0.683210086539816,0.638071676356388,"BAU"
2025,0.660546885592458,0.683210086539816,0.638071676356388,"BAU"
2026,0.660546885592458,0.683210086539816,0.638071676356388,"BAU"
2027,0.660546885592458,0.683210086539816,0.638071676356388,"BAU"
2028,0.660546885592458,0.683210086539816,0.638071676356388,"BAU"
2029,0.660546885592458,0.683210086539816,0.638071676356388,"BAU"
2030,0.660546885592458,0.683210086539816,0.638071676356388,"BAU"
2021,0.762382819914721,0.778247060577871,0.746650173449472,"GF"
2022,0.762382819914721,0.778247060577871,0.746650173449472,"GF"
2023,0.762382819914721,0.778247060577871,0.746650173449472,"GF"
2024,0.762382819914721,0.778247060577871,0.746650173449472,"GF"
2025,0.762382819914721,0.778247060577871,0.746650173449472,"GF"
2026,0.762382819914721,0.778247060577871,0.746650173449472,"GF"
2027,0.762382819914721,0.778247060577871,0.746650173449472,"GF"
2028,0.762382819914721,0.778247060577871,0.746650173449472,"GF"
2029,0.762382819914721,0.778247060577871,0.746650173449472,"GF"
2030,0.762382819914721,0.778247060577871,0.746650173449472,"GF"
2021,0.762382819914721,0.778247060577871,0.746650173449472,"GF with PBO"
2022,0.762382819914721,0.778247060577871,0.746650173449472,"GF with PBO"
2023,0.762382819914721,0.778247060577871,0.746650173449472,"GF with PBO"
2024,0.762382819914721,0.778247060577871,0.746650173449472,"GF with PBO"
2025,0.762382819914721,0.778247060577871,0.746650173449472,"GF with PBO"
2026,0.762382819914721,0.778247060577871,0.746650173449472,"GF with PBO"
2027,0.762382819914721,0.778247060577871,0.746650173449472,"GF with PBO"
2028,0.762382819914721,0.778247060577871,0.746650173449472,"GF with PBO"
2029,0.762382819914721,0.778247060577871,0.746650173449472,"GF with PBO"
2030,0.762382819914721,0.778247060577871,0.746650173449472,"GF with PBO"
2021,0.805053501829806,0.808295947663996,0.801717696420812,"GF at 80%"
2022,0.805053501829806,0.808295947663996,0.801717696420812,"GF at 80%"
2023,0.805053501829806,0.808295947663996,0.801717696420812,"GF at 80%"
2024,0.805053501829806,0.808295947663996,0.801717696420812,"GF at 80%"
2025,0.805053501829806,0.808295947663996,0.801717696420812,"GF at 80%"
2026,0.805053501829806,0.808295947663996,0.801717696420812,"GF at 80%"
2027,0.805053501829806,0.808295947663996,0.801717696420812,"GF at 80%"
2028,0.805053501829806,0.808295947663996,0.801717696420812,"GF at 80%"
2029,0.805053501829806,0.808295947663996,0.801717696420812,"GF at 80%"
2030,0.805053501829806,0.808295947663996,0.801717696420812,"GF at 80%"
2021,0.805053501829806,0.808295947663996,0.801717696420812,"GF at 80% with PBO"
2022,0.805053501829806,0.808295947663996,0.801717696420812,"GF at 80% with PBO"
2023,0.805053501829806,0.808295947663996,0.801717696420812,"GF at 80% with PBO"
2024,0.805053501829806,0.808295947663996,0.801717696420812,"GF at 80% with PBO"
2025,0.805053501829806,0.808295947663996,0.801717696420812,"GF at 80% with PBO"
2026,0.805053501829806,0.808295947663996,0.801717696420812,"GF at 80% with PBO"
2027,0.805053501829806,0.808295947663996,0.801717696420812,"GF at 80% with PBO"
2028,0.805053501829806,0.808295947663996,0.801717696420812,"GF at 80% with PBO"
2029,0.805053501829806,0.808295947663996,0.801717696420812,"GF at 80% with PBO"
2030,0.805053501829806,0.808295947663996,0.801717696420812,"GF at 80% with PBO"
2020,0.660546885592458,0.683210086539816,0.638071676356388,"BAU"
2020,0.660546885592458,0.683210086539816,0.638071676356388,"GF"
2020,0.660546885592458,0.683210086539816,0.638071676356388,"GF with PBO"
2020,0.660546885592458,0.683210086539816,0.638071676356388,"GF at 80%"
2020,0.660546885592458,0.683210086539816,0.638071676356388,"GF at 80% with PBO"
